"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"X.33",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.37155409628322,104.867725524609,-203.363877101649,212.411721953501,0.0130788961944384,0,10000,640
"X.34",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.348993985780514,105.237470731453,-204.753600375828,208.204703315201,0.00331625212345785,0,10000,204
"X.35",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0200904524987457,104.946305463247,-208.215009453998,206.894896774913,0.0001914355384886,0,10000,853
"X.36",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.97507858755054,106.309577344693,-209.836569881048,210.951517926588,0.0279850476491341,0,10000,264
"X.37",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.903192186874633,104.673917294739,-209.045103344543,210.682638662432,0.00862862698002824,0,10000,835
"X.38",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.798158711839105,107.705419019623,-211.2396855295,212.636324212899,0.00741057153023733,0,9998,54
"X.39",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0641352582748931,107.69559913276,-213.601836181126,214.022349687244,0.00059552348277325,0,10000,424
"X.40",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.896420737002673,108.960927198989,-210.992023299848,218.483966423091,0.00822699255638298,0,10000,264
"X.41",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.570551739006504,107.584175677251,-214.778021684062,209.58167327941,0.00530330539240399,0,10000,106
"X.42",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.41628726338628,107.295574655923,-204.551030823177,221.143937265684,0.0131998665175899,0,10000,264
"X.43",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.645108684345474,108.801409657821,-215.590441091134,216.018719522132,-0.00592923093895869,0,10000,23
"X.44",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.03186680707424,108.116627994994,-213.625751209566,215.645936461889,0.000294744736912397,0,10000,640
"X.45",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.23841908134352,107.182832332389,-212.267104878509,212.024109844425,0.00222441482609967,0,9908,37
"X.46",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.7737760558296,106.811143584444,-208.396838187558,214.133674526587,0.016606657285972,0,10000,502
"X.47",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.06544501979013,105.102296773785,-201.513147106137,214.78118002217,0.0291662990618367,0,9290,575
"X.48",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.12165940682048,105.233081580157,-209.440605482199,211.200839675775,0.0106588098531174,0,10000,156
"X.49",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.55766778083366,103.503119066243,-206.194789180356,201.172773122049,-0.00538793213059356,0,10000,156
"X.50",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.478883617231744,103.112358141716,-206.408851153738,202.014023211042,-0.00464428925748717,0,10000,264
"X.51",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.65431136789623,102.736673741068,-204.805543813364,199.538577591706,-0.0161024423670331,0,10000,575
"X.52",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.554886965544354,102.504694558537,-202.268900238033,200.183030076501,-0.00541328343969145,0,9758,5
"X.53",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.483191719389736,100.709054733433,-195.972129034809,198.715540190122,-0.0047978974747474,0,10000,424
"X.54",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.04907647583324,100.445212998117,-197.097850198481,200.876553964195,0.0104442655306322,0,9377,209
"X.55",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-2.05663315218908,101.044259978398,-204.018793643169,194.943410964432,-0.0203537850901056,0,10000,102
"X.56",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.315551323581077,100.498201892399,-201.764625226285,198.338663764918,-0.00313987034234635,0,9921,502
"X.57",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.710641198232975,101.713168033832,-204.573973274893,199.821981612899,0.00698671776693263,0,9942,424
"X.58",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.434290601393968,101.474796273652,-203.035713356506,201.83423159064,0.00427978786203025,0,10000,411
"X.59",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.43323135166163,101.676305544627,-203.019666779777,197.221915739316,-0.0140960211327954,0,10000,264
"X.60",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.708182856242285,101.473499185366,-202.059650221582,200.646300705571,0.00697899315513521,0,9947,37
"X.61",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.56519350657403,101.454942962154,-197.390665472172,204.616250744152,0.0252840663222386,0,10000,815
"X.62",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.327972639076103,101.039104574385,-200.434584157598,199.005213395628,-0.00324599708655028,0,9891,750
"X.63",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.184067294222282,101.26341030283,-201.98910177765,196.856955436903,0.00181770783417057,0,10000,640
"X.64",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.360291958760905,99.3918812108578,-195.112894276594,196.354145346979,0.00362496367280294,0,10000,156
"X.65",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.996267460402741,99.0069064997606,-193.733513669808,194.478735624487,-0.0100626056870603,0,10000,54
"X.66",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.563769306730343,97.4584549822586,-193.95429928134,192.536051915105,0.00578471418239673,0,10000,156
"X.67",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.41020294712618,97.4465564209916,-190.238688053601,195.640798067814,0.0247335876776758,0,9959,424
"X.68",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.965630474944146,96.1699518692125,-187.944577585927,193.402414588344,0.0100408750984649,0,9696,54
